Brazil	Per capita income	10326			
Germany	Per capita income	39650			
Mozambique	Per capita income	830			
Australia	Per capita income	43163			
China	Per capita income	5300			
Argentina	Per capita income	13308			
United Kingdom	Per capita income	34105			
South Africa	Per capita income	10600			
Zambia	Per capita income	1000			
Namibia	Per capita income	5249			
Georgia	Per capita income	4200			
Pakistan	Per capita income	3320			
India	Per capita income	2972			
Turkey	Per capita income	12888			
Sweden	Per capita income	34735			
Lithuania	Per capita income	19730			
Greece	Per capita income	36983			
Italy	Per capita income	26760			
Japan	Per capita income	34099			
Brazil	Literacy	90			
Germany	Literacy	99			
Mozambique	Literacy	38.7			
Australia	Literacy	99			
China	Literacy	90.9			
Argentina	Literacy	97.2			
United Kingdom	Literacy	99			
South Africa	Literacy	82.4			
Zambia	Literacy	68			
Namibia	Literacy	85			
Georgia	Literacy	100			
Pakistan	Literacy	49.9			
India	Literacy	61			
Turkey	Literacy	88.7			
Sweden	Literacy	99			
Lithuania	Literacy	99.6			
Greece	Literacy	96			
Italy	Literacy	98.5			
Japan	Literacy	99			
Brazil	Infant mortality	23.6			
Germany	Infant mortality	4.08			
Mozambique	Infant mortality	95.9			
Australia	Infant mortality	4.57			
China	Infant mortality	23			
Argentina	Infant mortality	13.4			
United Kingdom	Infant mortality	5.01			
South Africa	Infant mortality	44.8			
Zambia	Infant mortality	92.7			
Namibia	Infant mortality	42.3			
Georgia	Infant mortality	17.36			
Pakistan	Infant mortality	67.5			
India	Infant mortality	55			
Turkey	Infant mortality	27.5			
Sweden	Infant mortality	3.2			
Lithuania	Infant mortality	8.5			
Greece	Infant mortality	5.34			
Italy	Infant mortality	5.94			
Japan	Infant mortality	3.2			
Brazil	Life expectancy	75.4			
Germany	Life expectancy	79.4			
Mozambique	Life expectancy	42.1			
Australia	Life expectancy	81.2			
China	Life expectancy	73			
Argentina	Life expectancy	75.3			
United Kingdom	Life expectancy	79.4			
South Africa	Life expectancy	49.3			
Zambia	Life expectancy	42.4			
Namibia	Life expectancy	52.9			
Georgia	Life expectancy	71			
Pakistan	Life expectancy	65.5			
India	Life expectancy	64.7			
Turkey	Life expectancy	71.8			
Sweden	Life expectancy	80.9			
Lithuania	Life expectancy	73			
Greece	Life expectancy	79.5			
Italy	Life expectancy	80			
Japan	Life expectancy	82.6			
